Company,TypeName,Inches,Ram,OpSys,Weight,ScreenResolutionX,ScreenResolutionY,CpuBrand,CpuPower,Memory_SSD (GB),Memory_HDD (GB),Memory_Flash (GB),Price_euros
Dell,Notebook,15.6,8.0,Windows 10,2.16,1920,1080,Intel,1.8,256.0,1000.0,0.0,1130.33
Asus,Notebook,17.3,4.0,Windows 10,2.0,1920,1080,Intel,2.0,0.0,1000.0,0.0,564.0
Asus,Notebook,15.6,8.0,Windows 10,1.7,1920,1080,Intel,1.8,256.0,0.0,0.0,1118.0
Acer,Notebook,15.6,6.0,Windows 10,2.1,1920,1080,Intel,2.4,0.0,1000.0,0.0,479.0
MSI,Gaming,15.6,16.0,Windows 10,1.8,1920,1080,Intel,2.8,256.0,2000.0,0.0,2241.5
Lenovo,Notebook,15.6,8.0,No OS,2.2,1920,1080,Intel,2.5,256.0,0.0,0.0,629.0
HP,Notebook,17.3,16.0,Windows 10,2.5,1920,1080,Intel,1.8,512.0,0.0,0.0,1271.0
Acer,Notebook,15.6,4.0,Windows 10,2.1,1366,768,AMD,3.0,256.0,0.0,0.0,451.0
HP,Notebook,15.6,4.0,No OS,1.86,1366,768,Intel,1.6,0.0,500.0,0.0,259.0
HP,Notebook,14.0,8.0,Windows 10,1.63,1920,1080,Intel,1.6,0.0,1000.0,0.0,812.0
Asus,Notebook,14.0,4.0,Windows 10 S,1.65,1366,768,AMD,1.5,64.0,0.0,0.0,277.99
Dell,Notebook,17.3,16.0,Windows 10,2.8,1920,1080,Intel,1.8,256.0,2000.0,0.0,1396.0
HP,Notebook,17.3,8.0,Windows 10,2.5,1920,1080,Intel,1.6,256.0,0.0,0.0,928.0
Dell,Notebook,15.6,8.0,Windows 10,2.36,1366,768,Intel,2.5,0.0,1000.0,0.0,638.99
Dell,Notebook,15.6,4.0,Windows 10,2.2,1920,1080,Intel,2.0,0.0,1000.0,0.0,449.0
Acer,Ultrabook,14.0,8.0,Windows 10,1.6,1920,1080,Intel,1.8,256.0,0.0,0.0,884.0
Acer,Notebook,15.6,4.0,Windows 10,2.2,1920,1080,Intel,2.7,256.0,0.0,0.0,572.0
HP,Notebook,15.6,8.0,Windows 10,2.05,1366,768,Intel,2.7,0.0,1000.0,0.0,598.0
HP,Notebook,14.0,8.0,Windows 10,1.63,1920,1080,Intel,1.8,256.0,0.0,0.0,988.0
Lenovo,Notebook,15.6,4.0,No OS,1.9,1366,768,Intel,1.1,0.0,1000.0,0.0,252.36
Asus,Gaming,17.3,8.0,Windows 10,3.0,1920,1080,Intel,2.5,128.0,1000.0,0.0,938.0
Lenovo,Notebook,15.6,4.0,No OS,2.2,1920,1080,Intel,2.5,0.0,1000.0,0.0,499.0
HP,Notebook,13.3,4.0,Windows 10,1.32,1920,1080,Intel,2.5,256.0,0.0,0.0,699.0
Acer,Notebook,17.3,4.0,Windows 10,3.0,1920,1080,Intel,2.7,0.0,1000.0,0.0,655.0
Lenovo,Notebook,14.0,8.0,Windows 10,1.75,1920,1080,Intel,1.6,256.0,0.0,0.0,1116.02
Lenovo,Gaming,15.6,8.0,No OS,2.4,1920,1080,Intel,2.8,256.0,0.0,0.0,869.0
Toshiba,Notebook,15.6,4.0,Windows 10,2.1,1366,768,Intel,2.3,0.0,500.0,0.0,602.0
HP,Notebook,15.6,4.0,Windows 10,1.86,1366,768,AMD,2.5,256.0,0.0,0.0,369.0
Asus,Ultrabook,14.0,8.0,Windows 10,1.25,1920,1080,Intel,1.8,256.0,0.0,0.0,1099.0
HP,Ultrabook,12.5,8.0,Windows 10,0.97,3840,2160,Intel,1.2,512.0,0.0,0.0,2014.0
Asus,Notebook,15.6,4.0,Windows 10,2.0,1920,1080,Intel,1.1,0.0,1000.0,0.0,344.0
MSI,Gaming,17.3,16.0,Windows 10,2.9,1920,1080,Intel,2.8,256.0,1000.0,0.0,2029.0
Acer,Notebook,15.6,4.0,Windows 10,2.1,1366,768,Intel,2.0,0.0,1000.0,0.0,447.0
Dell,Gaming,15.6,16.0,Windows 10,2.56,1920,1080,Intel,2.8,512.0,0.0,0.0,1249.26
Dell,Gaming,15.6,8.0,Windows 10,2.62,1920,1080,Intel,2.8,0.0,0.0,0.0,899.0
Lenovo,Notebook,15.6,4.0,Windows 10,1.9,1366,768,Intel,2.5,128.0,0.0,0.0,498.0
MSI,Gaming,17.3,16.0,Windows 10,2.8,1920,1080,Intel,2.8,256.0,1000.0,0.0,1890.0
HP,Ultrabook,14.0,4.0,Windows 10,1.48,1920,1080,Intel,2.7,256.0,0.0,0.0,1082.0
HP,Notebook,15.6,6.0,Windows 10,1.91,1920,1080,Intel,1.6,256.0,0.0,0.0,619.0
Lenovo,2 in 1 Convertible,14.0,4.0,Windows 10,1.74,1920,1080,Intel,2.4,256.0,0.0,0.0,629.0
Asus,2 in 1 Convertible,13.3,8.0,Windows 10,1.1,1920,1080,Intel,1.6,256.0,0.0,0.0,1315.0
Dell,2 in 1 Convertible,15.6,8.0,Windows 10,1.56,1920,1080,Intel,1.8,256.0,0.0,0.0,1049.0
Toshiba,Notebook,15.6,4.0,Windows 10,2.1,1366,768,Intel,2.2,0.0,500.0,0.0,447.0
Asus,Notebook,15.6,4.0,Windows 10,2.03,1366,768,AMD,3.0,0.0,1000.0,0.0,403.0
Acer,Notebook,17.3,4.0,Windows 10,3.0,1920,1080,Intel,1.6,256.0,0.0,0.0,805.0
Dell,Notebook,15.6,8.0,Windows 10,2.13,1920,1080,Intel,1.6,256.0,0.0,0.0,728.0
Lenovo,Gaming,15.6,16.0,Windows 10,2.5,1920,1080,Intel,2.8,256.0,0.0,0.0,1079.0
Acer,Notebook,15.6,4.0,Windows 10,2.1,1366,768,Intel,1.1,0.0,1000.0,0.0,348.0
MSI,Gaming,15.6,16.0,Windows 10,2.4,1920,1080,Intel,2.8,256.0,1000.0,0.0,1799.0
Acer,Notebook,15.6,4.0,Windows 10,2.1,1366,768,Intel,1.1,0.0,1000.0,0.0,363.51
Dell,Gaming,15.6,8.0,Windows 10,2.56,1920,1080,Intel,2.8,128.0,1000.0,0.0,1060.49
Acer,Notebook,17.3,8.0,Windows 10,3.0,1920,1080,Intel,1.6,256.0,0.0,0.0,854.0
HP,Notebook,13.3,4.0,Windows 10,1.49,1920,1080,Intel,1.6,0.0,500.0,0.0,754.0
Huawei,Ultrabook,13.0,8.0,Windows 10,1.05,2160,1440,Intel,2.5,256.0,0.0,0.0,1349.0
HP,Notebook,17.3,6.0,Windows 10,2.71,1920,1080,Intel,2.5,0.0,2000.0,0.0,699.0
Lenovo,Notebook,15.6,4.0,No OS,2.2,1366,768,AMD,2.9,0.0,500.0,0.0,309.0
Toshiba,Notebook,15.6,4.0,Windows 10,2.0,1366,768,Intel,2.4,0.0,500.0,0.0,489.0
HP,Notebook,17.3,8.0,Windows 10,2.5,1920,1080,Intel,1.6,256.0,0.0,0.0,923.0
Dell,Notebook,15.6,8.0,Windows 10,2.3,1366,768,Intel,2.4,0.0,1000.0,0.0,459.0
Acer,Notebook,15.6,4.0,Windows 10,2.1,1366,768,Intel,2.0,128.0,0.0,0.0,449.0
MSI,Gaming,18.4,32.0,Windows 10,4.4,1920,1080,Intel,2.9,512.0,1000.0,0.0,2799.0
Lenovo,Notebook,15.6,8.0,Windows 10,1.9,1920,1080,Intel,2.5,128.0,1000.0,0.0,813.0
HP,2 in 1 Convertible,13.3,8.0,Windows 10,1.29,3840,2160,Intel,1.6,256.0,0.0,0.0,1499.0
Dell,Notebook,15.6,16.0,Linux,2.02,1920,1080,Intel,1.8,256.0,2000.0,0.0,1049.0
Dell,Ultrabook,13.3,8.0,Windows 10,1.23,1920,1080,Intel,1.6,256.0,0.0,0.0,1399.0
Lenovo,2 in 1 Convertible,13.9,16.0,Windows 10,1.4,3840,2160,Intel,1.8,512.0,0.0,0.0,1849.0
Toshiba,Notebook,15.6,8.0,Windows 10,2.0,1366,768,Intel,2.5,128.0,0.0,0.0,793.0
Xiaomi,Notebook,15.6,8.0,No OS,1.95,1920,1080,Intel,1.6,256.0,0.0,0.0,1199.0
Dell,Notebook,17.3,16.0,Windows 10,2.77,1920,1080,Intel,1.8,512.0,0.0,0.0,1549.0
Dell,Notebook,15.6,16.0,Windows 10,2.06,3840,2160,Intel,2.8,512.0,0.0,0.0,2397.0
Lenovo,Gaming,15.6,8.0,No OS,2.4,1920,1080,Intel,2.5,256.0,0.0,0.0,779.0
Acer,Ultrabook,13.3,8.0,Windows 10,1.12,1920,1080,Intel,1.2,256.0,0.0,0.0,989.0
Dell,Notebook,17.3,8.0,Windows 10,2.8,1920,1080,Intel,1.8,128.0,1000.0,0.0,1085.0
Lenovo,2 in 1 Convertible,14.0,16.0,Windows 10,1.42,2560,1440,Intel,2.7,1000.0,0.0,0.0,2824.0
Vero,Notebook,14.0,4.0,Windows 10,1.3,1920,1080,Intel,1.1,0.0,0.0,32.0,260.0
Xiaomi,Ultrabook,13.3,8.0,No OS,1.3,1920,1080,Intel,2.5,256.0,0.0,0.0,999.9
Lenovo,Notebook,17.3,8.0,No OS,2.8,1600,900,Intel,1.6,256.0,0.0,0.0,698.0
Dell,2 in 1 Convertible,13.3,8.0,Windows 10,1.62,1920,1080,Intel,1.8,0.0,1000.0,0.0,839.0
HP,Notebook,17.3,8.0,Windows 10,2.5,1920,1080,Intel,1.6,0.0,1000.0,0.0,914.0
Razer,Gaming,17.3,32.0,Windows 10,3.49,3840,2160,Intel,2.9,1000.0,0.0,0.0,6099.0
HP,Notebook,13.3,8.0,Windows 10,1.49,1920,1080,Intel,1.6,512.0,0.0,0.0,959.0
HP,Gaming,17.3,16.0,Windows 10,3.35,1920,1080,Intel,2.8,256.0,1000.0,0.0,1379.0
HP,Notebook,17.3,8.0,Windows 10,2.5,1920,1080,Intel,1.8,256.0,0.0,0.0,1045.0
Dell,Gaming,15.6,16.0,Windows 10,2.65,3840,2160,Intel,2.8,512.0,1000.0,0.0,1845.0
Lenovo,Notebook,15.6,4.0,Windows 10,2.1,1366,768,Intel,2.3,128.0,0.0,0.0,493.0
Acer,Notebook,15.6,8.0,Windows 10,2.23,1920,1080,Intel,2.7,0.0,1000.0,0.0,742.0
Lenovo,Gaming,15.6,16.0,Windows 10,3.2,1920,1080,Intel,2.8,512.0,1000.0,0.0,1749.0
Dell,Workstation,15.6,16.0,Windows 10,2.8,3840,2160,Intel,3.0,256.0,1000.0,0.0,3055.0
Lenovo,Gaming,15.6,16.0,No OS,2.4,1920,1080,Intel,2.8,512.0,0.0,0.0,1398.0
Dell,Notebook,15.6,6.0,Windows 10,2.3,1366,768,Intel,2.4,0.0,1000.0,0.0,439.0
Dell,Ultrabook,13.3,8.0,Windows 10,1.21,3840,2160,Intel,1.8,256.0,0.0,0.0,1949.0
Dell,Ultrabook,13.3,8.0,Windows 10,1.2,1920,1080,Intel,1.8,256.0,0.0,0.0,1449.0
Lenovo,Notebook,15.6,8.0,Windows 10,2.2,1366,768,Intel,2.5,256.0,0.0,0.0,597.0
Acer,Notebook,15.6,8.0,Linux,2.4,1920,1080,Intel,2.8,0.0,1000.0,0.0,779.0
Asus,Gaming,17.3,16.0,Windows 10,2.9,1920,1080,Intel,2.8,256.0,1000.0,0.0,1407.0
HP,Notebook,15.6,4.0,No OS,2.1,1920,1080,Intel,2.0,0.0,500.0,0.0,349.0
Lenovo,Notebook,15.6,8.0,No OS,2.2,1920,1080,Intel,2.5,256.0,0.0,0.0,549.0
Huawei,Ultrabook,13.0,8.0,Windows 10,1.05,2160,1440,Intel,2.7,512.0,0.0,0.0,1499.0
Dell,Ultrabook,13.3,8.0,Windows 10,1.4,1920,1080,Intel,1.8,256.0,0.0,0.0,931.88
Lenovo,Notebook,17.3,8.0,No OS,2.8,1600,900,Intel,2.5,0.0,1000.0,0.0,589.0
HP,Notebook,14.0,8.0,Windows 10,1.63,1920,1080,Intel,1.8,256.0,0.0,0.0,1031.0
Dell,Ultrabook,14.0,8.0,Windows 10,1.6,1920,1080,Intel,1.6,256.0,0.0,0.0,1149.0
Dell,2 in 1 Convertible,13.3,16.0,Windows 10,1.62,1920,1080,Intel,1.8,512.0,0.0,0.0,1279.0
Dell,Notebook,15.6,8.0,Linux,2.2,1920,1080,Intel,1.6,256.0,0.0,0.0,677.35
Lenovo,2 in 1 Convertible,14.0,8.0,Windows 10,1.74,1920,1080,Intel,1.6,256.0,0.0,0.0,899.0
Toshiba,Ultrabook,13.3,8.0,Windows 10,1.2,1920,1080,Intel,2.5,256.0,0.0,0.0,1363.0
HP,Notebook,15.6,8.0,Windows 10,2.1,1920,1080,Intel,1.6,0.0,1000.0,0.0,794.0
Dell,Gaming,17.3,16.0,Windows 10,4.42,1920,1080,Intel,2.8,256.0,1000.0,0.0,2456.34
Acer,Notebook,15.6,8.0,Windows 10,2.2,1920,1080,Intel,2.7,256.0,0.0,0.0,832.0
Dell,Notebook,15.6,16.0,Windows 10,2.3,1920,1080,Intel,2.7,0.0,1000.0,0.0,859.01
Asus,Notebook,15.6,8.0,Windows 10,2.0,1920,1080,Intel,2.5,256.0,0.0,0.0,769.0
Asus,Notebook,17.3,8.0,Windows 10,2.69,1920,1080,Intel,2.5,256.0,500.0,0.0,891.0
HP,Notebook,15.6,8.0,Windows 10,1.9,1920,1080,Intel,2.7,0.0,1000.0,0.0,1269.0
Asus,Notebook,15.6,4.0,Windows 10,2.37,1366,768,Intel,2.4,0.0,1000.0,0.0,398.99
HP,Notebook,15.6,4.0,Windows 10,2.1,1366,768,AMD,1.5,0.0,500.0,0.0,330.0
Lenovo,Gaming,15.6,16.0,Windows 10,3.2,1920,1080,Intel,2.8,256.0,1000.0,0.0,1499.0
Dell,Notebook,14.0,8.0,Windows 10,1.6,1920,1080,Intel,2.5,256.0,0.0,0.0,859.0
Acer,2 in 1 Convertible,13.3,8.0,Windows 10,1.6,1920,1080,Intel,2.3,256.0,0.0,0.0,689.0
Dell,Notebook,15.6,16.0,Linux,2.36,1920,1080,Intel,2.7,256.0,0.0,0.0,899.0
Acer,Notebook,15.6,4.0,Linux,2.1,1366,768,Intel,2.0,0.0,1000.0,0.0,390.0
